,w1,w2,w3,w4,w5,tll5,nu5,tll4,nu4,tll3,nu3,tll2,nu2,mean_tll5,mean_tll_per_unique5,mean_tll4,mean_tll_per_unique4,mean_tll3,mean_tll_per_unique3,mean_tll2,mean_tll_per_unique2
0,sooey,brant,child,flump,gawks,-66.99210002173479,21,-49.6622836262306,18,-34.54385297764661,14,-21.538189064508543,9,-13.398420004346956,-3.1901000010349896,-12.41557090655765,-2.759015757012811,-11.514617659215537,-2.4674180698319006,-10.769094532254272,-2.393132118278727
1,saree,bliny,chout,gramp,fjeld,-66.81979183913887,20,-49.15721746524381,17,-34.773227359664745,14,-21.764874179568004,9,-13.363958367827774,-3.3409895919569434,-12.289304366310953,-2.891601027367283,-11.591075786554915,-2.4838019542617675,-10.882437089784002,-2.4183193532853338
2,saine,borty,pluck,hewgh,fumed,-66.17425904649453,21,-52.26097273751704,18,-35.84798930077259,15,-22.261900953975502,10,-13.234851809298906,-3.1511551926902155,-13.06524318437926,-2.903387374306502,-11.949329766924196,-2.3898659533848394,-11.130950476987751,-2.22619009539755
3,soree,gaily,bundt,whack,frump,-64.24499182284976,21,-49.409280457375424,18,-35.577742318798144,14,-21.959553333942786,9,-12.848998364569951,-3.0592853248976075,-12.352320114343856,-2.7449600254097457,-11.85924743959938,-2.541267308485582,-10.979776666971393,-2.4399503704380874
4,soare,bliny,dutch,frump,gawks,-68.21608206938289,21,-50.8862656738787,18,-36.05055430840436,15,-21.954916179249203,10,-13.643216413876578,-3.248384860446804,-12.721566418469674,-2.8270147596599275,-12.016851436134786,-2.403370287226957,-10.977458089624601,-2.19549161792492
5,saice,drony,flump,bight,wokka,-70.41945923629467,21,-52.513929123797894,19,-37.37450337163366,15,-22.25607272304967,10,-14.083891847258935,-3.3533075826806984,-13.128482280949473,-2.7638910065156788,-12.458167790544552,-2.4916335581089104,-11.128036361524835,-2.225607272304967
6,seine,coaly,brugh,tapet,fjord,-65.19213448968797,19,-47.78572249663123,16,-35.160907548442324,14,-21.572560628385567,9,-13.038426897937594,-3.431164973141472,-11.946430624157808,-2.986607656039452,-11.720302516147441,-2.511493396317309,-10.786280314192783,-2.3969511809317297
7,seare,bliny,chout,faded,gopak,-62.75932443135972,19,-48.32548171315808,16,-35.104997519174646,14,-22.096644339077905,9,-12.551864886271945,-3.303122338492617,-12.08137042828952,-3.02034260707238,-11.701665839724882,-2.507499822798189,-11.048322169538952,-2.4551827043419894
8,slane,pricy,fouth,baked,gemma,-66.08144998292995,20,-50.12790494431319,18,-35.380711140891364,15,-22.194929470862217,10,-13.21628999658599,-3.3040724991464976,-12.531976236078297,-2.7848836080173993,-11.79357038029712,-2.358714076059424,-11.097464735431108,-2.2194929470862217
9,soole,briny,chapt,fumed,gawks,-66.34735547637592,21,-49.017539080871735,18,-35.10425277189424,14,-21.83772618915407,9,-13.269471095275184,-3.159397879827425,-12.254384770217934,-2.7231966156039853,-11.701417590631413,-2.507446626563874,-10.918863094577034,-2.4264140210171186
10,siree,coaly,bundt,whomp,griff,-66.77678386465732,20,-50.85214066653356,18,-35.30228235817231,14,-21.684093373316955,9,-13.355356772931463,-3.338839193232866,-12.71303516663339,-2.825118925918531,-11.767427452724105,-2.521591597012308,-10.842046686658477,-2.4093437081463285
11,soily,crane,bumph,fated,wigga,-65.9065138881349,20,-49.65241223034376,18,-36.81969356736909,15,-21.47463509121526,10,-13.181302777626978,-3.2953256944067446,-12.41310305758594,-2.7584673461302085,-12.273231189123031,-2.454646237824606,-10.73731754560763,-2.147463509121526
12,cooey,saint,brugh,dwalm,pukka,-68.40860942698933,20,-50.63142615959447,18,-35.00581278753211,14,-21.41746586747535,9,-13.681721885397867,-3.4204304713494667,-12.657856539898617,-2.8128570088663594,-11.668604262510703,-2.5004151991094363,-10.708732933737675,-2.3797184297194836
13,soote,briny,cauld,khaph,gemma,-66.7917265691137,19,-50.83818153049693,17,-34.72718071634646,14,-21.98983396735153,9,-13.358345313822742,-3.515354029953353,-12.709545382624233,-2.9904812664998195,-11.57572690544882,-2.4805129083104616,-10.994916983675765,-2.443314885261281
14,saint,corey,flump,hewgh,kibbe,-70.39696014702174,20,-53.350271735524316,18,-36.93728829877987,15,-21.81885765019588,10,-14.07939202940435,-3.5198480073510874,-13.337567933881079,-2.9639039853069065,-12.312429432926622,-2.4624858865853247,-10.90942882509794,-2.181885765019588
15,slate,crony,guimp,vozhd,wauff,-72.20484710380707,21,-55.611494439473105,19,-36.92597481684495,15,-22.039255223036285,10,-14.440969420761414,-3.438326052562241,-13.902873609868276,-2.9269207599722686,-12.308658272281649,-2.46173165445633,-11.019627611518143,-2.2039255223036287
16,slier,coady,thunk,gamme,bebop,-65.36694228261126,19,-50.27707759916739,17,-36.42848479284626,15,-22.737701386353883,10,-13.073388456522252,-3.4403653832953296,-12.569269399791848,-2.9574751528921994,-12.142828264282088,-2.4285656528564177,-11.368850693176942,-2.2737701386353883
17,saist,corey,blunk,whomp,fidge,-64.41754707764589,21,-50.641537080978566,18,-35.09167877261732,14,-21.880849326223846,9,-12.88350941552918,-3.0675022417926616,-12.660384270244641,-2.8134187267210313,-11.697226257539107,-2.50654848375838,-10.940424663111923,-2.4312054806915384
18,slice,praty,bound,hewgh,kamik,-67.7558927163582,20,-51.71713913374718,18,-35.304155697002734,15,-22.462773201094333,10,-13.551178543271641,-3.3877946358179103,-12.929284783436795,-2.8731743963192877,-11.76805189900091,-2.353610379800182,-11.231386600547166,-2.2462773201094333
19,sooty,crane,build,whump,gaffs,-68.34679008779777,20,-50.53740061203169,18,-34.598271881482255,14,-21.71273331726824,9,-13.669358017559555,-3.4173395043898886,-12.634350153007922,-2.807633367335094,-11.532757293827418,-2.4713051343915895,-10.85636665863412,-2.4125259241409154
20,crane,soily,bumph,fated,wigga,-65.9065138881349,20,-49.65241223034376,18,-36.81969356736909,15,-21.47463509121526,10,-13.181302777626978,-3.2953256944067446,-12.41310305758594,-2.7584673461302085,-12.273231189123031,-2.454646237824606,-10.73731754560763,-2.147463509121526
21,souse,briny,clapt,hewgh,faded,-64.74171259382298,19,-51.52122839983955,17,-35.1082449630951,14,-22.17325233533556,9,-12.948342518764596,-3.4074585575696306,-12.880307099959888,-3.0306604941082087,-11.7027483210317,-2.5077317830782215,-11.08662616766778,-2.4636947039261736
22,seity,crank,bough,fjeld,maxim,-71.22980857455947,21,-54.29148042106476,19,-36.6289060471697,15,-23.08436174977134,10,-14.245961714911894,-3.391895646407594,-13.57287010526619,-2.857446337950777,-12.209635349056567,-2.4419270698113134,-11.54218087488567,-2.308436174977134
23,sauce,briny,plotz,hewgh,domed,-68.74123149061116,20,-55.0301441134153,18,-38.61716067667085,15,-22.204786717318417,10,-13.74824629812223,-3.4370615745305577,-13.757536028353824,-3.057230228523072,-12.872386892223616,-2.5744773784447235,-11.102393358659208,-2.2204786717318417
24,slily,crane,fouth,paged,bemix,-64.96622971711938,20,-48.27578479167432,17,-34.986938667012446,14,-21.801156996983302,9,-12.993245943423876,-3.248311485855969,-12.06894619791858,-2.8397520465690778,-11.662312889004149,-2.499067047643746,-10.900578498491651,-2.422350777442589
25,slaty,crine,bough,faded,kempt,-65.32023993331231,20,-48.718293266562554,17,-35.49780907257912,15,-21.953264775180763,10,-13.064047986662462,-3.2660119966656156,-12.179573316640639,-2.8657819568566207,-11.832603024193041,-2.366520604838608,-10.976632387590382,-2.1953264775180763
