,w1,w2,w3,w4,w5,tglp5,nu5,tglp4,nu4,tglp3,nu3,tglp2,nu2,mean_tglp2,mean_tglp_per_unique2,mean_tglp3,mean_tglp_per_unique3,mean_tglp4,mean_tglp_per_unique4,mean_tglp5,mean_tglp_per_unique5
0,saree,bliny,chout,gramp,fjeld,2.198704103671706,20,1.9416846652267816,17,1.5904967602591793,14,1.1926565874730022,9,0.5963282937365011,0.13251739860811135,0.5301655867530598,0.11360691144708424,0.4854211663066954,0.1142167450133401,0.43974082073434123,0.10993520518358531
1,sooey,brant,child,flump,gawks,2.074730021598272,21,1.8431965442764577,18,1.5727861771058316,14,1.1892008639308855,9,0.5946004319654428,0.13213342932565394,0.5242620590352772,0.11234186979327368,0.46079913606911443,0.10239980801535876,0.41494600431965434,0.0987966676951558
2,soree,gaily,bundt,whack,frump,2.1909287257019443,21,1.8920086393088555,18,1.5468682505399571,14,1.1926565874730022,9,0.5963282937365011,0.13251739860811135,0.5156227501799857,0.11049058932428266,0.4730021598272139,0.1051115910727142,0.4381857451403889,0.10432993931914021
3,saine,borty,pluck,hewgh,fumed,2.075161987041037,21,1.7213822894168467,18,1.482937365010799,15,1.1490280777537798,10,0.5745140388768899,0.11490280777537798,0.4943124550035997,0.09886249100071993,0.43034557235421167,0.09563234941204704,0.4150323974082074,0.09881723747814461
4,soare,bliny,dutch,frump,gawks,2.00475161987041,21,1.7732181425485958,18,1.4742980561555075,15,1.172354211663067,10,0.5861771058315335,0.1172354211663067,0.49143268538516915,0.09828653707703383,0.44330453563714894,0.09851211903047755,0.400950323974082,0.0954643628509719
5,saice,drony,flump,bight,wokka,1.9533477321814257,21,1.7403887688984883,19,1.4280777537796974,15,1.1576673866090712,10,0.5788336933045356,0.11576673866090711,0.4760259179265658,0.09520518358531316,0.43509719222462206,0.09159940888939412,0.39066954643628515,0.09301655867530598
6,seare,bliny,chout,faded,gopak,2.2794816414686823,19,1.965010799136069,16,1.5542116630669547,14,1.1563714902807776,9,0.5781857451403888,0.1284857211423086,0.5180705543556515,0.11101511879049676,0.49125269978401725,0.12281317494600431,0.45589632829373644,0.1199727179720359
7,seine,coaly,brugh,tapet,fjord,2.3084233261339095,19,2.0267818574514043,16,1.5593952483801299,14,1.2051835853131752,9,0.6025917926565876,0.13390928725701945,0.51979841612671,0.111385374884295,0.5066954643628511,0.12667386609071277,0.4616846652267819,0.12149596453336366
8,slane,pricy,fouth,baked,gemma,2.1615550755939523,20,1.923974082073434,18,1.5244060475161987,15,1.15377969762419,10,0.576889848812095,0.11537796976241901,0.5081353491720663,0.10162706983441325,0.4809935205183585,0.10688744900407966,0.43231101511879044,0.10807775377969761
9,soole,briny,chapt,fumed,gawks,2.1745140388768895,21,1.9429805615550755,18,1.5892008639308854,14,1.1779697624190064,9,0.5889848812095032,0.13088552915766738,0.5297336213102951,0.11351434742363467,0.48574514038876887,0.10794336453083753,0.43490280777537793,0.10354828756556617
10,siree,coaly,bundt,whomp,griff,2.119654427645788,20,1.813390928725702,18,1.5563714902807777,14,1.202159827213823,9,0.6010799136069115,0.13357331413486923,0.5187904967602592,0.11116939216291269,0.4533477321814255,0.10074394048476122,0.4239308855291576,0.1059827213822894
11,soote,briny,cauld,khaph,gemma,2.0997840172786177,19,1.8622030237580993,17,1.5771058315334774,14,1.1680345572354212,9,0.5840172786177106,0.12978161747060235,0.5257019438444924,0.11265041653810552,0.46555075593952483,0.10954135433871172,0.41995680345572356,0.11051494827782199
12,slate,crony,guimp,vozhd,wauff,1.9330453563714902,21,1.6682505399568033,19,1.46133909287257,15,1.1628509719222462,10,0.5814254859611231,0.11628509719222462,0.48711303095752334,0.09742260619150467,0.4170626349892008,0.08780265999772649,0.38660907127429806,0.09204977887483287
13,soily,crane,bumph,fated,wigga,2.1179265658747304,20,1.9053995680345572,18,1.479049676025918,15,1.2159827213822894,10,0.6079913606911447,0.12159827213822894,0.49301655867530597,0.09860331173506119,0.4763498920086393,0.1058555315574754,0.4235853131749461,0.10589632829373652
14,soave,briny,mulct,hewgh,faded,2.1542116630669548,20,1.7434125269978402,18,1.5049676025917926,15,1.1550755939524837,10,0.5775377969762419,0.11550755939524837,0.5016558675305975,0.1003311735061195,0.43585313174946005,0.09685625149988002,0.43084233261339094,0.10771058315334774
15,samey,point,brugh,flack,dewax,2.079481641468682,22,1.841900647948164,19,1.4492440604751622,15,1.0950323974082075,10,0.5475161987041037,0.10950323974082074,0.4830813534917207,0.09661627069834415,0.460475161987041,0.09694213936569285,0.4158963282937364,0.094521892794031
16,sauce,briny,plotz,hewgh,domed,2.0872570194384448,20,1.7041036717062634,18,1.4656587473002158,15,1.1503239740820734,10,0.5751619870410367,0.11503239740820734,0.4885529157667386,0.09771058315334773,0.42602591792656586,0.09467242620590352,0.417451403887689,0.10436285097192224
17,slice,praty,bound,hewgh,kamik,2.0531317494600434,20,1.7697624190064798,18,1.5313174946004322,15,1.1352051835853132,10,0.5676025917926566,0.11352051835853132,0.5104391648668107,0.10208783297336214,0.44244060475161995,0.09832013438924887,0.4106263498920087,0.10265658747300217
18,seame,crony,built,vozhd,qapik,2.089416846652268,21,1.8060475161987042,18,1.599136069114471,14,1.1498920086393087,9,0.5749460043196544,0.12776577873770098,0.5330453563714903,0.11422400493674792,0.45151187904967605,0.10033597312215023,0.41788336933045356,0.09949604031677466
19,souse,briny,clapt,hewgh,faded,2.2328293736501084,19,1.8220302375809936,17,1.583585313174946,14,1.147732181425486,9,0.573866090712743,0.12752579793616511,0.5278617710583153,0.11311323665535329,0.4555075593952484,0.10717824926947021,0.4465658747300217,0.11751733545526886
20,cooey,saint,brugh,dwalm,pukka,2.0384449244060474,20,1.8401727861771058,18,1.5524838012958961,14,1.1982721382289416,9,0.5991360691144708,0.13314134869210462,0.5174946004319654,0.11089170009256401,0.46004319654427644,0.10223182145428365,0.40768898488120947,0.10192224622030237
21,shale,crony,putid,begem,wauff,2.0855291576673864,20,1.8207343412526997,18,1.4570194384449242,15,1.1481641468682504,10,0.5740820734341252,0.11481641468682505,0.4856731461483081,0.09713462922966161,0.45518358531317493,0.10115190784737221,0.4171058315334773,0.10427645788336933
22,savey,point,brugh,flack,dewax,2.074298056155507,22,1.8367170626349891,19,1.4440604751619872,15,1.0898488120950325,10,0.5449244060475162,0.10898488120950325,0.4813534917206624,0.09627069834413247,0.4591792656587473,0.09666931908605206,0.41485961123110143,0.09428627527979577
23,saute,crony,whilk,boded,flamm,2.219438444924406,19,1.8937365010799136,17,1.4777537796976241,15,1.1460043196544276,10,0.5730021598272138,0.11460043196544276,0.4925845932325414,0.09851691864650827,0.4734341252699784,0.11139626476940669,0.4438876889848812,0.11681254973286348
