,all,wordle,curated,mean
aahed,1.2927829573012187e-06,1.043505653570376e-06,,1.1681443054357974e-06
aalii,2.016668945068463e-06,9.48754606530954e-07,,1.4827117757997086e-06
aalto,2.2663430525144765e-06,,,2.2663430525144765e-06
aargh,9.972532259467321e-07,8.513659000687984e-07,,9.243095630077652e-07
aaron,3.922182637316376e-06,,,3.922182637316376e-06
aarti,2.593374887701192e-06,1.3677556827889506e-06,,1.9805652852450715e-06
ababa,5.1814581278672437e-08,,,5.1814581278672437e-08
abaca,8.837180772018475e-08,5.6141887819095347e-08,,7.225684776964005e-08
abaci,3.778839489910376e-08,2.3117247925509846e-08,,3.04528214123068e-08
aback,2.300451408770001e-08,2.1383454331096612e-08,1.7891408241616753e-07,7.443401694498805e-08
abacs,2.9441800306477157e-07,3.267788117470285e-07,,3.105984074059001e-07
abaft,2.9421911677582893e-08,3.402723099887069e-08,,3.172457133822679e-08
abajo,3.972059502814775e-09,,,3.972059502814775e-09
abaka,9.01845627503424e-08,6.870892840147193e-08,,7.944674557590716e-08
abamp,1.0186831061569762e-08,1.1870791179267284e-08,,1.1028811120418523e-08
aband,1.1968852210495918e-07,1.302753744668348e-07,,1.24981948285897e-07
abase,1.8948593699519104e-07,1.5776135638508008e-07,7.552390912611674e-07,3.674954615471462e-07
abash,4.071332659004954e-08,3.835197231437557e-08,,3.953264945221256e-08
abask,2.7920008550883773e-08,2.6846380620062902e-08,,2.738319458547334e-08
abate,3.394733969829338e-07,2.745536783600812e-07,6.139077993292529e-07,4.0931162489075596e-07
abaya,2.4774318745487692e-08,1.4752612857572502e-08,,1.9763465801530098e-08
abbas,2.4648259541059457e-07,2.3144227253455423e-07,,2.389624339725744e-07
abbed,9.677757985410794e-08,1.042698700457805e-07,,1.0052372494994422e-07
abbes,4.692022184848181e-07,5.014582571582008e-07,,4.853302378215094e-07
abbey,1.6386684099751245e-07,1.6483001328014635e-07,2.238656589731799e-07,1.8418750441694623e-07
abbie,1.146459467766907e-07,,,1.146459467766907e-07
abbot,3.345854539038383e-08,2.7628190842902946e-08,6.458823646302712e-08,4.1891657565437964e-08
abcde,6.454142188909995e-08,,,6.454142188909995e-08
abcee,2.769597095553565e-07,2.2563938610541613e-07,,2.512995478303863e-07
abdel,8.548686220446202e-08,,,8.548686220446202e-08
abduh,1.3109709751903075e-08,,,1.3109709751903075e-08
abdul,1.779915138252453e-08,,,1.779915138252453e-08
abdur,2.6271236538398652e-08,,,2.6271236538398652e-08
abeam,4.114013883263087e-08,2.801960839285391e-08,,3.457987361274239e-08
abear,1.3677410090586134e-07,1.036109694966521e-07,,1.2019253520125673e-07
abele,2.0916845509856472e-07,1.6821139881666122e-07,,1.8868992695761297e-07
abell,6.101856843002716e-08,,,6.101856843002716e-08
abend,8.976639157871938e-08,,,8.976639157871938e-08
abers,3.8198848602762673e-07,4.079350973233493e-07,,3.9496179167548805e-07
abets,4.801278203825506e-07,5.094933482564224e-07,,4.948105843194864e-07
abhor,1.6360069806089857e-08,9.161562308702055e-09,8.54547917422202e-09,1.1355703763004644e-08
abide,1.6516044439860423e-07,1.224492367211979e-07,2.6404667468631474e-07,1.8388545193537227e-07
abies,1.3365154102294818e-06,1.5732317261888626e-06,,1.4548735682091723e-06
abled,2.4145517397944104e-07,2.639428352203638e-07,1.425972888466139e-07,2.159984326821396e-07
abler,2.6728771442702316e-07,2.1583660765893663e-07,,2.415621610429799e-07
ables,1.1706358380378794e-06,1.269362991254192e-06,,1.2199994146460358e-06
ablet,2.506810812821489e-07,2.331548495810504e-07,,2.4191796543159967e-07
ablex,2.7677721908123698e-08,,,2.7677721908123698e-08
ablow,6.934503778081123e-09,6.15671507699205e-09,,6.545609427536587e-09
abmho,1.2923407612044627e-08,7.591999493847652e-09,,1.0257703552946138e-08
abner,3.118717380480489e-07,,,3.118717380480489e-07
abney,4.770345815705363e-07,,,4.770345815705363e-07
abode,1.4419326741466793e-07,1.1569180976607946e-07,2.4220822790774734e-07,1.6736443502949827e-07
abohm,9.735254649235703e-09,6.902498254469088e-09,,8.318876451852396e-09
aboil,8.317204593811319e-08,6.760155409941574e-08,,7.538680001876445e-08
aboma,5.8546769964289555e-08,4.411659861682651e-08,,5.1331684290558034e-08
aboon,9.536870624088012e-08,5.970330147903424e-08,,7.753600385995719e-08
aboot,8.320700883952019e-08,,,8.320700883952019e-08
abord,8.062271119671508e-08,9.549833083013267e-08,,8.806052101342388e-08
abore,2.072778219085852e-07,1.766080917660534e-07,,1.919429568373193e-07
abort,8.370327330575988e-08,8.435879284751695e-08,3.183743373126994e-07,1.6214546782199209e-07
about,5.202505821079345e-08,4.704850616391419e-08,1.7175457670816675e-07,9.02760470276248e-08
above,4.260255628160644e-08,3.831830641933843e-08,1.614721519384982e-07,8.079767154648103e-08
abram,5.94360442985141e-08,3.8058379653785696e-08,,4.87472119761499e-08
abray,3.0224690067867337e-07,2.720546809317318e-07,,2.871507908052026e-07
abreu,4.5627741069498627e-08,,,4.5627741069498627e-08
abril,1.174273077501549e-07,,,1.174273077501549e-07
abrim,5.2132938666371534e-08,3.118377476287841e-08,,4.165835671462497e-08
abrin,1.8631115785686877e-07,9.08098935402503e-08,,1.3856052569855955e-07
abris,7.590897725159213e-07,6.781614313817183e-07,,7.186256019488198e-07
absey,2.67814695690884e-07,2.6225193157706864e-07,,2.6503331363397635e-07
absit,7.566440709958866e-08,5.541943562825641e-08,,6.554192136392254e-08
abstr,7.372197263037263e-08,,,7.372197263037263e-08
abuja,4.077945386836328e-09,,,4.077945386836328e-09
abuna,9.403742062044573e-08,5.808697641352539e-08,,7.606219851698557e-08
abune,1.6613512795285048e-07,1.3001232073733184e-07,,1.4807372434509116e-07
abuse,1.0230350463705451e-07,8.513497144728835e-08,4.05910260775546e-07,1.977829122866296e-07
abuts,3.4562817327621686e-07,3.8529712390820147e-07,,3.654626485922092e-07
abuzz,9.590666757488289e-10,4.3708325040932806e-10,,6.980749630790785e-10
abyes,3.004789964842168e-07,3.188376381334232e-07,,3.0965831730882e-07
abysm,4.849989627412374e-09,3.2510114553028154e-09,,4.050500541357594e-09
abyss,7.061902929619132e-08,7.070056780268431e-08,6.057322930955832e-09,4.912564000994382e-08
acais,1.3890490401004613e-06,1.5202758211943104e-06,,1.4546624306473857e-06
acari,1.2961430587555843e-07,8.787206817114893e-08,,1.0874318702335368e-07
accad,1.1220629065036509e-07,,,1.1220629065036509e-07
accas,5.44004516133484e-07,5.884527461471888e-07,,5.662286311403364e-07
accom,2.3683322299532173e-08,,,2.3683322299532173e-08
accoy,1.2043551766089966e-07,1.2570838352768542e-07,,1.2307195059429254e-07
accra,1.0412510852517583e-07,,,1.0412510852517583e-07
acerb,1.569015281651496e-08,1.3212802483501643e-08,,1.4451477650008302e-08
acers,7.573909636754668e-07,8.863774954186357e-07,,8.218842295470512e-07
aceta,2.8574332522786537e-07,1.9019508518246724e-07,,2.379692052051663e-07
achan,5.500757355744583e-08,,,5.500757355744583e-08
achar,5.1172183107568875e-08,3.062993303335982e-08,,4.090105807046435e-08
ached,8.799647238214866e-08,8.115642732142562e-08,,8.457644985178715e-08
aches,4.266291854248059e-07,3.9030029081191087e-07,,4.084647381183584e-07
achoo,2.2425134792524207e-08,1.1506194887512658e-08,,1.6965664840018432e-08
acide,3.27473294928267e-07,,,3.27473294928267e-07
acids,6.17540935361543e-07,6.919024504297485e-07,,6.547216928956457e-07
acidy,2.156734948763236e-07,2.274292794363574e-07,,2.215513871563405e-07
acing,5.283596102353051e-08,4.182254206548042e-08,,4.7329251544505466e-08
acini,1.2981249044574307e-07,8.189029215618543e-08,,1.0585139130096425e-07
ackee,3.4284142030195584e-07,3.401930174993223e-07,,3.4151721890063904e-07
acker,1.4761834402810328e-07,1.5042700445272266e-07,,1.4902267424041297e-07
acmes,1.3362702680045682e-06,1.6620287383740538e-06,,1.4991495031893109e-06
acmic,2.3153599321108455e-08,2.0167531730428223e-08,,2.166056552576834e-08
acned,5.58603157280512e-07,6.519566328154526e-07,,6.052798950479823e-07
acnes,2.708249586771565e-06,3.1354123361890175e-06,,2.921830961480291e-06
acock,3.500552537648607e-08,3.7328134828969326e-08,,3.6166830102727694e-08
acold,1.6506805094155029e-07,2.2250968423780772e-07,,1.93788867589679e-07
acoma,1.160841128602293e-07,,,1.160841128602293e-07
acorn,1.90220916437815e-07,1.3362861407129555e-07,4.089788918048509e-07,2.4427614077132047e-07
acqua,2.3491134789902513e-09,,,2.3491134789902513e-09
acred,6.737351057276403e-07,8.102116660922326e-07,,7.419733859099365e-07
acres,3.2664384329000554e-06,3.8964979032722444e-06,,3.58146816808615e-06
acrid,3.104400089946624e-07,3.0639719216208195e-07,2.577809535711264e-07,2.9153938490929026e-07
acros,1.087731566864434e-06,1.1687819237146655e-06,,1.1282567452895497e-06
actas,8.727767554664244e-07,,,8.727767554664244e-07
acted,3.426822977348873e-07,4.1660299358331815e-07,,3.7964264565910274e-07
acter,3.7934481430477696e-07,,,3.7934481430477696e-07
actes,1.661410572315103e-06,,,1.661410572315103e-06
actin,1.8789326125678825e-07,1.0145762915620455e-07,,1.446754452064964e-07
actio,1.2083777627615463e-07,,,1.2083777627615463e-07
acton,1.357906758795467e-07,8.047434676253496e-08,,1.0813251132104082e-07
actor,1.2632270214849572e-07,1.021872365494076e-07,2.6348560787184565e-07,1.6399851552324965e-07
actum,2.375723841730501e-08,,,2.375723841730501e-08
actus,3.4592096987295595e-07,,,3.4592096987295595e-07
acuna,1.8645350640260793e-07,,,1.8645350640260793e-07
acuta,2.0569719006428212e-07,,,2.0569719006428212e-07
acute,3.6340351282924565e-07,3.21930614587545e-07,8.248761147339312e-07,5.034034140502406e-07
acyls,2.060864945524476e-07,2.295383349735154e-07,,2.1781241476298148e-07
adage,1.58460950832246e-07,1.3411753553150218e-07,4.195772729228707e-07,2.3738525309553962e-07
adair,1.7236811708363122e-07,,,1.7236811708363122e-07
adami,3.515167150023468e-08,,,3.515167150023468e-08
adams,2.7387468970621443e-07,,,2.7387468970621443e-07
adana,1.8768916574818195e-07,,,1.8768916574818195e-07
adapt,5.6673506768111555e-08,6.330546997469125e-08,1.6471116256437176e-07,9.489671310239152e-08
adaws,7.70103087886781e-08,1.0553980907464634e-07,,9.127505893166222e-08
adays,8.894148338974091e-08,8.904921390673286e-08,,8.899534864823688e-08
adbot,3.6054467015499816e-08,2.8651457170417867e-08,,3.235296209295884e-08
addax,7.3962258436708645e-09,4.941729875282876e-09,,6.16897785947687e-09
added,1.2282595144319257e-07,1.2588468556107496e-07,,1.2435531850213378e-07
adder,1.3596671917401448e-07,1.0294093971154734e-07,,1.194538294427809e-07
addie,1.4550371597616397e-07,,,1.4550371597616397e-07
addio,4.3311297197151136e-08,2.2501369658244665e-08,,3.29063334276979e-08
addis,2.7438726227182344e-07,,,2.7438726227182344e-07
addle,1.0923231551371505e-07,7.71339747660175e-08,,9.318314513986628e-08
adeem,8.439011432692477e-08,6.295763861110384e-08,,7.367387646901431e-08
adela,1.2758142554652005e-07,,,1.2758142554652005e-07
adele,2.2539704213207405e-07,,,2.2539704213207405e-07
adena,1.4076687431113646e-07,,,1.4076687431113646e-07
adeno,7.402669084179044e-08,,,7.402669084179044e-08
adept,4.250513007608366e-08,4.517429168096899e-08,9.496376473581043e-08,6.088106216428769e-08
adhan,2.989542041165534e-08,1.1512601467691975e-08,,2.0704010939673657e-08
adhuc,1.8153833881372809e-09,,,1.8153833881372809e-09
adieu,3.988874133714502e-08,2.7617602589507477e-08,,3.375317196332625e-08
adige,1.392954742353285e-07,,,1.392954742353285e-07
adios,4.795934573969493e-07,4.893797586565939e-07,,4.844866080267716e-07
aditi,7.783169041394151e-08,,,7.783169041394151e-08
adits,6.064044511023057e-07,6.296031852057612e-07,,6.180038181540335e-07
adlai,8.505387866784458e-08,,,8.505387866784458e-08
adler,2.8802555433946464e-07,,,2.8802555433946464e-07
adman,9.363719785324648e-08,4.902449458325499e-08,,7.133084621825073e-08
admen,1.7824699099852403e-07,1.0621973826371915e-07,,1.422333646311216e-07
admin,8.213168204897233e-08,4.0169045841028296e-08,5.314034942859083e-08,5.8480359106197156e-08
admit,7.165800883355293e-08,5.509980438948598e-08,1.0341929542641139e-07,7.67257028831501e-08
admix,7.91176753682761e-09,5.305345677116944e-09,,6.608556606972276e-09
adnan,1.897766555647372e-07,,,1.897766555647372e-07
adobe,7.570393735800215e-08,6.189880267739284e-08,1.0530792517728147e-07,8.097022173755882e-08
adobo,2.25343779566707e-08,1.5820390434629315e-08,,1.917738419565001e-08
adolf,1.0871080343715636e-08,,,1.0871080343715636e-08
adopt,4.3494443161811296e-08,5.0859491654424266e-08,1.3091050053976125e-07,7.508814511866561e-08
adore,2.2335972188425126e-07,1.8314913220183313e-07,6.669501927894492e-07,3.5781968229184454e-07
adorn,1.0338093284663858e-07,6.377729307948197e-08,2.0448944590242546e-07,1.23882557276182e-07
adown,1.4506020221563913e-08,1.1353954818044077e-08,,1.2929987519803996e-08
adoze,3.641734595938879e-08,3.209567546235184e-08,,3.425651071087032e-08
adrad,1.9235237626285657e-07,1.784731991741631e-07,,1.8541278771850985e-07
adred,3.6616038354763063e-07,3.8669193154402003e-07,,3.764261575458253e-07
adria,2.4552433310582696e-07,,,2.4552433310582696e-07
adsum,1.1816106310003782e-08,6.556243025660056e-09,,9.186174667831919e-09
aduki,2.2435846607447137e-08,1.583302597418975e-08,,1.9134436290818444e-08
adult,6.552244314921956e-08,6.301249801175033e-08,2.8682276060883757e-07,1.3845256725660248e-07
adunc,1.2695185577332723e-08,1.1250396956780841e-08,,1.1972791267056783e-08
adust,4.4517640799948225e-08,4.217178855261112e-08,,4.334471467627967e-08
advan,4.372369857563689e-08,,,4.372369857563689e-08
