,0,1,2,3,4
a,0.06749460043196544,0.1665766738660907,0.11258099352051835,0.07991360691144708,0.060745140388768895
b,0.07775377969762419,0.005939524838012959,0.02591792656587473,0.011609071274298057,0.004049676025917927
c,0.08342332613390929,0.014578833693304536,0.02591792656587473,0.0550755939524838,0.014308855291576673
d,0.046166306695464364,0.006749460043196544,0.032937365010799136,0.029157667386609073,0.05777537796976242
e,0.026727861771058316,0.10934125269978402,0.07208423326133909,0.15226781857451405,0.17332613390928725
f,0.04697624190064795,0.002429805615550756,0.008639308855291577,0.012958963282937365,0.008099352051835854
g,0.04508639308855292,0.004319654427645789,0.031047516198704102,0.03131749460043196,0.013228941684665227
h,0.032937365010799136,0.05588552915766739,0.0064794816414686825,0.014038876889848811,0.04724622030237581
i,0.013228941684665227,0.09611231101511879,0.10016198704103672,0.07532397408207343,0.014308855291576673
j,0.01376889848812095,0.0002699784017278618,0.0021598272138228943,0.0018898488120950325,0.0002699784017278618
k,0.013228941684665227,0.004319654427645789,0.0091792656587473,0.020248380129589634,0.03590712742980562
l,0.04265658747300216,0.07262419006479481,0.061555075593952485,0.06344492440604751,0.058585313174946
m,0.054265658747300216,0.01511879049676026,0.03374730021598272,0.029427645788336933,0.01997840172786177
n,0.020788336933045357,0.031587473002159826,0.07883369330453564,0.0769438444924406,0.06236501079913607
o,0.017278617710583154,0.13174946004319654,0.08234341252699784,0.055615550755939526,0.03536717062634989
p,0.06749460043196544,0.02132829373650108,0.024838012958963283,0.02294816414686825,0.015928725701943845
q,0.008369330453563716,0.0021598272138228943,0.0010799136069114472,0.0,0.0
r,0.041576673866090715,0.09908207343412527,0.08639308855291576,0.06533477321814254,0.08666306695464362
s,0.14659827213822893,0.01079913606911447,0.036177105831533475,0.06371490280777538,0.055615550755939526
t,0.06857451403887689,0.030777537796976243,0.04967602591792657,0.06182505399568035,0.09017278617710583
u,0.011609071274298057,0.0812634989200864,0.058315334773218146,0.03941684665226782,0.0026997840172786176
v,0.018898488120950324,0.005399568034557235,0.022138228941684664,0.01700863930885529,0.0
w,0.028347732181425486,0.014848812095032398,0.012419006479481642,0.008369330453563716,0.005939524838012959
x,0.0010799136069114472,0.004319654427645789,0.0064794816414686825,0.0005399568034557236,0.005399568034557235
y,0.003779697624190065,0.011069114470842332,0.012688984881209503,0.004319654427645789,0.1298596112311015
z,0.0018898488120950325,0.0013498920086393088,0.006209503239740821,0.007289416846652268,0.0021598272138228943
