w,in_wordle,in_wordle_curated,freq
cigar,True,True,3877425.0
rebut,True,True,508399.0
sissy,True,True,548761.0
humph,True,True,274977.0
awake,True,True,9037710.0
blush,True,True,2652137.0
focal,True,True,8611836.0
evade,True,True,2375305.0
naval,True,True,23570489.0
serve,True,True,67412909.0
heath,True,True,5391093.0
dwarf,True,True,3808810.0
model,True,True,155409143.0
karma,True,True,2670600.0
stink,True,True,908307.0
grade,True,True,34186172.0
quiet,True,True,36586756.0
bench,True,True,12008161.0
abate,True,True,1272889.0
feign,True,True,483215.0
major,True,True,168841614.0
death,True,True,214241154.0
fresh,True,True,50740037.0
crust,True,True,6169166.0
stool,True,True,4626852.0
colon,True,True,6643839.0
abase,True,True,127297.0
marry,True,True,19503936.0
react,True,True,9582173.0
batty,True,True,225427.0
pride,True,True,27561848.0
floss,True,True,632139.0
helix,True,True,2353396.0
croak,True,True,318449.0
staff,True,True,77708958.0
paper,True,True,135586065.0
unfed,True,True,102599.0
whelp,True,True,153045.0
trawl,True,True,407196.0
outdo,True,True,453120.0
adobe,True,True,2280813.0
crazy,True,True,10449290.0
sower,True,True,427271.0
repay,True,True,3444468.0
digit,True,True,4498478.0
crate,True,True,1010186.0
cluck,True,True,175306.0
spike,True,True,3082729.0
mimic,True,True,2037106.0
pound,True,True,18201567.0
maxim,True,True,4346658.0
linen,True,True,7532025.0
unmet,True,True,519556.0
flesh,True,True,25813888.0
booby,True,True,513361.0
forth,True,True,60949516.0
first,True,True,923189150.0
stand,True,True,80686346.0
belly,True,True,6899376.0
ivory,True,True,6259901.0
seedy,True,True,447736.0
print,True,True,30965760.0
yearn,True,True,740064.0
drain,True,True,9409107.0
bribe,True,True,2063736.0
stout,True,True,6018347.0
panel,True,True,19907781.0
crass,True,True,554228.0
flume,True,True,412116.0
offal,True,True,381823.0
agree,True,True,41668821.0
error,True,True,56750399.0
swirl,True,True,1008664.0
argue,True,True,22990660.0
bleed,True,True,2032003.0
delta,True,True,10205323.0
flick,True,True,969189.0
totem,True,True,1312063.0
wooer,True,True,102853.0
front,True,True,114244970.0
shrub,True,True,2434829.0
parry,True,True,2254165.0
biome,True,True,216143.0
lapel,True,True,396927.0
start,True,True,79891984.0
greet,True,True,3893412.0
goner,True,True,
golem,True,True,231723.0
lusty,True,True,843867.0
loopy,True,True,
round,True,True,88680611.0
audit,True,True,8627218.0
lying,True,True,32572530.0
gamma,True,True,6114816.0
labor,True,True,108728677.0
islet,True,True,1053799.0
civic,True,True,10351714.0
forge,True,True,3610405.0
corny,True,True,331788.0
moult,True,True,450156.0
basic,True,True,102960618.0
salad,True,True,5491851.0
agate,True,True,747979.0
spicy,True,True,1242872.0
spray,True,True,7979376.0
essay,True,True,25601356.0
fjord,True,True,693049.0
spend,True,True,31141732.0
kebab,True,True,
guild,True,True,4814232.0
aback,True,True,1142546.0
motor,True,True,40987965.0
alone,True,True,122890524.0
hatch,True,True,4181121.0
hyper,True,True,1284139.0
thumb,True,True,9232055.0
dowry,True,True,2100981.0
ought,True,True,57330059.0
belch,True,True,220681.0
dutch,True,True,28391120.0
pilot,True,True,16262831.0
tweed,True,True,1591095.0
comet,True,True,3066347.0
jaunt,True,True,289931.0
enema,True,True,864289.0
steed,True,True,1370082.0
abyss,True,True,2779852.0
growl,True,True,960468.0
fling,True,True,1635782.0
dozen,True,True,20456803.0
boozy,True,True,
erode,True,True,947815.0
world,True,True,505870068.0
gouge,True,True,468650.0
click,True,True,25268981.0
briar,True,True,434601.0
great,True,True,557149997.0
altar,True,True,12853605.0
pulpy,True,True,254980.0
blurt,True,True,198118.0
coast,True,True,54258062.0
duchy,True,True,1998754.0
groin,True,True,1365931.0
fixer,True,True,358217.0
group,True,True,284672959.0
rogue,True,True,1921199.0
badly,True,True,15561385.0
smart,True,True,11095693.0
pithy,True,True,470880.0
gaudy,True,True,1141969.0
chill,True,True,4831407.0
heron,True,True,1577365.0
vodka,True,True,1223863.0
finer,True,True,5942948.0
surer,True,True,761682.0
radio,True,True,41244924.0
rouge,True,True,3413506.0
perch,True,True,2270999.0
retch,True,True,
wrote,True,True,101295092.0
clock,True,True,15675780.0
tilde,True,True,127487.0
store,True,True,43347796.0
prove,True,True,48293856.0
bring,True,True,105435509.0
solve,True,True,19977322.0
cheat,True,True,2334402.0
grime,True,True,502694.0
exult,True,True,347964.0
usher,True,True,2085894.0
epoch,True,True,6625576.0
triad,True,True,2172055.0
break,True,True,53238563.0
rhino,True,True,525120.0
viral,True,True,5970098.0
conic,True,True,665352.0
masse,True,True,1527799.0
sonic,True,True,1036347.0
vital,True,True,29437126.0
trace,True,True,24279136.0
using,True,True,201536862.0
peach,True,True,2943899.0
champ,True,True,959172.0
baton,True,True,2307501.0
brake,True,True,4685005.0
pluck,True,True,1789255.0
craze,True,True,959407.0
gripe,True,True,281673.0
weary,True,True,9347902.0
picky,True,True,185382.0
acute,True,True,32380814.0
ferry,True,True,6420911.0
aside,True,True,33829618.0
tapir,True,True,222562.0
troll,True,True,583714.0
unify,True,True,1190573.0
rebus,True,True,755534.0
boost,True,True,3376836.0
truss,True,True,1735330.0
siege,True,True,10170893.0
tiger,True,True,6378636.0
banal,True,True,932722.0
slump,True,True,1422663.0
crank,True,True,2653961.0
gorge,True,True,2910206.0
query,True,True,8998692.0
drink,True,True,33706355.0
favor,True,True,33056700.0
abbey,True,True,8316990.0
tangy,True,True,175854.0
panic,True,True,10391109.0
solar,True,True,17315113.0
shire,True,True,1649545.0
proxy,True,True,4047183.0
point,True,True,333858038.0
robot,True,True,4160862.0
prick,True,True,1176971.0
wince,True,True,411327.0
crimp,True,True,298539.0
knoll,True,True,1127168.0
sugar,True,True,38411948.0
whack,True,True,447898.0
mount,True,True,22452720.0
perky,True,True,205419.0
could,True,True,886891028.0
wrung,True,True,1255043.0
light,True,True,223142561.0
those,True,True,691668501.0
moist,True,True,6946215.0
shard,True,True,176418.0
pleat,True,True,139999.0
aloft,True,True,2273127.0
skill,True,True,32903336.0
elder,True,True,13937577.0
frame,True,True,38645040.0
humor,True,True,11571621.0
pause,True,True,11628988.0
ulcer,True,True,4317266.0
ultra,True,True,4876650.0
robin,True,True,7228027.0
cynic,True,True,745943.0
agora,True,True,577285.0
aroma,True,True,1672991.0
caulk,True,True,135462.0
shake,True,True,10815829.0
pupal,True,True,408221.0
dodge,True,True,3724284.0
swill,True,True,160405.0
tacit,True,True,2898849.0
other,True,True,1383185827.0
thorn,True,True,3146724.0
trove,True,True,365259.0
bloke,True,True,413530.0
vivid,True,True,9463826.0
spill,True,True,2520232.0
chant,True,True,3037901.0
choke,True,True,1826281.0
rupee,True,True,1126440.0
nasty,True,True,3422308.0
mourn,True,True,2060699.0
ahead,True,True,34510196.0
brine,True,True,1795307.0
cloth,True,True,27337033.0
hoard,True,True,1427072.0
sweet,True,True,33768721.0
month,True,True,69201284.0
lapse,True,True,4633959.0
watch,True,True,42950958.0
today,True,True,108960014.0
focus,True,True,56401617.0
smelt,True,True,1058950.0
tease,True,True,1403497.0
cater,True,True,1523233.0
movie,True,True,15603488.0
lynch,True,True,3676837.0
saute,True,True,767278.0
allow,True,True,74009167.0
renew,True,True,4495515.0
their,True,True,2152980325.0
slosh,True,True,
purge,True,True,2488236.0
chest,True,True,26270816.0
depot,True,True,3956170.0
epoxy,True,True,1571745.0
nymph,True,True,1286141.0
found,True,True,436617767.0
shall,True,True,343397728.0
harry,True,True,21112030.0
stove,True,True,6025489.0
lowly,True,True,2227756.0
snout,True,True,1269601.0
trope,True,True,818500.0
fewer,True,True,19359650.0
shawl,True,True,1857515.0
natal,True,True,3841949.0
fibre,True,True,6293722.0
comma,True,True,2254652.0
foray,True,True,590780.0
scare,True,True,2799552.0
stair,True,True,2252941.0
black,True,True,181542099.0
squad,True,True,3493133.0
royal,True,True,66531300.0
chunk,True,True,1437558.0
mince,True,True,545299.0
slave,True,True,30911620.0
shame,True,True,14551111.0
cheek,True,True,9732594.0
ample,True,True,11254352.0
flair,True,True,1073168.0
foyer,True,True,1107463.0
cargo,True,True,10424266.0
oxide,True,True,12923070.0
plant,True,True,83847060.0
olive,True,True,9286968.0
inert,True,True,3641835.0
askew,True,True,563564.0
heist,True,True,135045.0
shown,True,True,164618363.0
zesty,True,True,
hasty,True,True,4239945.0
trash,True,True,3429552.0
fella,True,True,503191.0
larva,True,True,2665492.0
forgo,True,True,757265.0
story,True,True,136788548.0
hairy,True,True,2636104.0
train,True,True,41055205.0
homer,True,True,8228921.0
badge,True,True,2769779.0
midst,True,True,18021919.0
canny,True,True,487603.0
fetus,True,True,4826636.0
butch,True,True,861250.0
farce,True,True,2304656.0
slung,True,True,1433654.0
tipsy,True,True,413977.0
metal,True,True,49446105.0
yield,True,True,37765055.0
delve,True,True,692156.0
being,True,True,616194541.0
scour,True,True,744097.0
glass,True,True,64025067.0
gamer,True,True,125284.0
scrap,True,True,4472843.0
money,True,True,182729316.0
hinge,True,True,2379976.0
album,True,True,4805424.0
vouch,True,True,580958.0
asset,True,True,13627390.0
tiara,True,True,410082.0
crept,True,True,4360931.0
bayou,True,True,860372.0
atoll,True,True,626997.0
manor,True,True,5535913.0
creak,True,True,533673.0
showy,True,True,1055150.0
phase,True,True,73292544.0
froth,True,True,837309.0
depth,True,True,40927274.0
gloom,True,True,4835298.0
flood,True,True,15713569.0
trait,True,True,7079826.0
girth,True,True,897660.0
piety,True,True,8267448.0
payer,True,True,896281.0
goose,True,True,4255930.0
float,True,True,6765249.0
donor,True,True,7982240.0
atone,True,True,933247.0
primo,True,True,1191435.0
apron,True,True,2680306.0
blown,True,True,7900039.0
cacao,True,True,915051.0
loser,True,True,1511304.0
input,True,True,41046336.0
gloat,True,True,217757.0
awful,True,True,10752278.0
brink,True,True,2952190.0
smite,True,True,649834.0
beady,True,True,231095.0
rusty,True,True,2661008.0
retro,True,True,545558.0
droll,True,True,590986.0
gawky,True,True,126818.0
hutch,True,True,371612.0
pinto,True,True,1090669.0
gaily,True,True,1522914.0
egret,True,True,246661.0
lilac,True,True,1203707.0
sever,True,True,1376818.0
field,True,True,176569485.0
fluff,True,True,413077.0
hydro,True,True,2030273.0
flack,True,True,237750.0
agape,True,True,662298.0
wench,True,True,573430.0
voice,True,True,105822860.0
stead,True,True,3090614.0
stalk,True,True,3111754.0
berth,True,True,1484769.0
madam,True,True,5114334.0
night,True,True,177813198.0
bland,True,True,2599377.0
liver,True,True,24778974.0
wedge,True,True,4483137.0
augur,True,True,398727.0
roomy,True,True,518554.0
wacky,True,True,180705.0
flock,True,True,6426243.0
angry,True,True,22478441.0
bobby,True,True,4445306.0
trite,True,True,814692.0
aphid,True,True,646355.0
tryst,True,True,272289.0
midge,True,True,418772.0
power,True,True,374440251.0
elope,True,True,189489.0
cinch,True,True,262345.0
motto,True,True,3717504.0
stomp,True,True,300327.0
upset,True,True,11230422.0
bluff,True,True,3530192.0
cramp,True,True,829871.0
quart,True,True,3026562.0
coyly,True,True,220323.0
youth,True,True,51315735.0
rhyme,True,True,3777527.0
buggy,True,True,1382639.0
alien,True,True,12651356.0
smear,True,True,1844575.0
unfit,True,True,3828528.0
patty,True,True,1508590.0
cling,True,True,3131565.0
glean,True,True,560538.0
label,True,True,14529764.0
hunky,True,True,
khaki,True,True,1040574.0
poker,True,True,2256768.0
gruel,True,True,572100.0
twice,True,True,36389658.0
twang,True,True,291356.0
shrug,True,True,1500436.0
treat,True,True,27558923.0
unlit,True,True,270039.0
waste,True,True,34589875.0
merit,True,True,17903392.0
woven,True,True,5796062.0
octal,True,True,352641.0
needy,True,True,3100785.0
clown,True,True,2130822.0
widow,True,True,13491541.0
irony,True,True,7404403.0
ruder,True,True,345259.0
gauze,True,True,2221423.0
chief,True,True,104936898.0
onset,True,True,12666655.0
prize,True,True,15236876.0
fungi,True,True,4967504.0
charm,True,True,11269539.0
gully,True,True,1210995.0
inter,True,True,18986494.0
whoop,True,True,523580.0
taunt,True,True,795423.0
leery,True,True,185823.0
class,True,True,193633305.0
theme,True,True,29775562.0
lofty,True,True,7597562.0
tibia,True,True,2025863.0
booze,True,True,762940.0
alpha,True,True,10167549.0
thyme,True,True,1090740.0
eclat,True,True,221921.0
doubt,True,True,86837636.0
parer,True,True,
chute,True,True,1167693.0
stick,True,True,19426989.0
trice,True,True,307627.0
alike,True,True,19941320.0
sooth,True,True,451242.0
recap,True,True,289135.0
saint,True,True,29511488.0
liege,True,True,1521154.0
glory,True,True,29640696.0
grate,True,True,1696073.0
admit,True,True,27459942.0
brisk,True,True,2558107.0
soggy,True,True,521717.0
usurp,True,True,781520.0
scald,True,True,285794.0
scorn,True,True,4705707.0
leave,True,True,111442661.0
twine,True,True,1047836.0
sting,True,True,2819220.0
bough,True,True,1161439.0
marsh,True,True,7486053.0
sloth,True,True,990529.0
dandy,True,True,1178718.0
vigor,True,True,4830736.0
howdy,True,True,225452.0
enjoy,True,True,32845122.0
valid,True,True,24337886.0
ionic,True,True,5196101.0
equal,True,True,103238744.0
unset,True,True,
floor,True,True,64500064.0
catch,True,True,24966916.0
spade,True,True,1934629.0
stein,True,True,5226292.0
exist,True,True,60331721.0
quirk,True,True,613300.0
denim,True,True,543559.0
grove,True,True,8164344.0
spiel,True,True,263155.0
mummy,True,True,1787746.0
fault,True,True,25427721.0
foggy,True,True,921229.0
flout,True,True,250164.0
carry,True,True,67589761.0
sneak,True,True,1552248.0
libel,True,True,3331342.0
waltz,True,True,1579414.0
aptly,True,True,2230497.0
piney,True,True,230118.0
inept,True,True,969097.0
aloud,True,True,8474609.0
photo,True,True,16598046.0
dream,True,True,38843330.0
stale,True,True,2551851.0
vomit,True,True,1173800.0
ombre,True,True,228433.0
fanny,True,True,4345787.0
unite,True,True,8650076.0
snarl,True,True,526859.0
baker,True,True,13610150.0
there,True,True,1623700147.0
glyph,True,True,349205.0
pooch,True,True,
hippy,True,True,144811.0
spell,True,True,9503142.0
folly,True,True,7823469.0
louse,True,True,681523.0
gulch,True,True,660896.0
vault,True,True,4107932.0
godly,True,True,2396682.0
threw,True,True,20054344.0
fleet,True,True,23140758.0
grave,True,True,27464045.0
inane,True,True,390570.0
shock,True,True,25055649.0
crave,True,True,1180146.0
spite,True,True,35152429.0
valve,True,True,17551814.0
skimp,True,True,
claim,True,True,71229695.0
rainy,True,True,4295439.0
musty,True,True,772399.0
pique,True,True,611410.0
daddy,True,True,6500138.0
quasi,True,True,8043954.0
arise,True,True,30283204.0
aging,True,True,11382198.0
valet,True,True,1505585.0
opium,True,True,5685749.0
avert,True,True,2351502.0
stuck,True,True,12080201.0
recut,True,True,
mulch,True,True,807870.0
genre,True,True,8212772.0
plume,True,True,2117136.0
rifle,True,True,9108150.0
count,True,True,42657594.0
incur,True,True,2868538.0
total,True,True,194645191.0
wrest,True,True,916375.0
mocha,True,True,295277.0
deter,True,True,3048687.0
study,True,True,251146114.0
lover,True,True,15409946.0
safer,True,True,4897530.0
rivet,True,True,1085666.0
funny,True,True,9983033.0
smoke,True,True,23159665.0
mound,True,True,5403833.0
undue,True,True,4994030.0
sedan,True,True,1466105.0
pagan,True,True,7193677.0
swine,True,True,2781470.0
guile,True,True,715990.0
gusty,True,True,258172.0
equip,True,True,1887839.0
tough,True,True,11652616.0
canoe,True,True,5715254.0
chaos,True,True,9799348.0
covet,True,True,662926.0
human,True,True,279027691.0
udder,True,True,503482.0
lunch,True,True,16951452.0
blast,True,True,7319081.0
stray,True,True,3475926.0
manga,True,True,312983.0
melee,True,True,495312.0
lefty,True,True,344858.0
quick,True,True,33025464.0
paste,True,True,6447291.0
given,True,True,370958373.0
octet,True,True,409431.0
risen,True,True,10060859.0
groan,True,True,1910222.0
leaky,True,True,825715.0
grind,True,True,2405458.0
carve,True,True,1459317.0
loose,True,True,22963149.0
sadly,True,True,6077835.0
spilt,True,True,559831.0
apple,True,True,13260965.0
slack,True,True,3370601.0
honey,True,True,11473212.0
final,True,True,96624825.0
sheen,True,True,1190189.0
eerie,True,True,1276884.0
minty,True,True,142410.0
slick,True,True,1665950.0
derby,True,True,3534991.0
wharf,True,True,2747054.0
spelt,True,True,1026236.0
coach,True,True,12021372.0
erupt,True,True,747148.0
singe,True,True,174729.0
price,True,True,127365117.0
spawn,True,True,1111784.0
fairy,True,True,7320033.0
jiffy,True,True,165458.0
filmy,True,True,289769.0
stack,True,True,7913046.0
chose,True,True,20936822.0
sleep,True,True,50888533.0
ardor,True,True,1429146.0
nanny,True,True,1099435.0
niece,True,True,3877604.0
woozy,True,True,
handy,True,True,4279244.0
grace,True,True,42016481.0
ditto,True,True,3342851.0
stank,True,True,269978.0
cream,True,True,15831141.0
usual,True,True,58076335.0
diode,True,True,3161883.0
valor,True,True,1824177.0
angle,True,True,39229069.0
ninja,True,True,176426.0
muddy,True,True,3851087.0
chase,True,True,11242373.0
reply,True,True,29929435.0
prone,True,True,7331574.0
spoil,True,True,3869880.0
heart,True,True,161254474.0
shade,True,True,14077842.0
diner,True,True,948288.0
arson,True,True,1111080.0
onion,True,True,4552065.0
sleet,True,True,643197.0
dowel,True,True,513812.0
couch,True,True,5997800.0
palsy,True,True,2198108.0
bowel,True,True,5973462.0
smile,True,True,32358171.0
evoke,True,True,3089061.0
creek,True,True,20108446.0
lance,True,True,4160987.0
eagle,True,True,9119843.0
idiot,True,True,2862355.0
siren,True,True,1327277.0
built,True,True,88977072.0
embed,True,True,553522.0
award,True,True,16210691.0
dross,True,True,533039.0
annul,True,True,753533.0
goody,True,True,715835.0
frown,True,True,2374944.0
patio,True,True,1848237.0
laden,True,True,6174545.0
humid,True,True,2659162.0
elite,True,True,13832229.0
lymph,True,True,6279240.0
edify,True,True,224601.0
might,True,True,409560494.0
reset,True,True,2628981.0
visit,True,True,62724360.0
gusto,True,True,876300.0
purse,True,True,5968302.0
vapor,True,True,9220995.0
crock,True,True,325808.0
write,True,True,87398762.0
sunny,True,True,5241394.0
loath,True,True,967175.0
chaff,True,True,1165015.0
slide,True,True,12171306.0
queer,True,True,4984193.0
venom,True,True,1775449.0
stamp,True,True,9588738.0
sorry,True,True,25104781.0
still,True,True,408263128.0
acorn,True,True,850525.0
aping,True,True,190573.0
pushy,True,True,259670.0
tamer,True,True,304372.0
hater,True,True,445386.0
mania,True,True,2536444.0
awoke,True,True,3659085.0
brawn,True,True,285765.0
swift,True,True,12544591.0
exile,True,True,10959257.0
birch,True,True,4261347.0
lucky,True,True,11017715.0
freer,True,True,2229172.0
risky,True,True,3869871.0
ghost,True,True,13054588.0
plier,True,True,
lunar,True,True,3954480.0
winch,True,True,1108723.0
snare,True,True,1618024.0
nurse,True,True,23875250.0
house,True,True,316642686.0
borax,True,True,887291.0
nicer,True,True,860822.0
lurch,True,True,640652.0
exalt,True,True,1177917.0
about,True,True,1070877995.0
savvy,True,True,821080.0
toxin,True,True,2979205.0
tunic,True,True,1647067.0
pried,True,True,397982.0
inlay,True,True,550245.0
chump,True,True,106998.0
lanky,True,True,466229.0
cress,True,True,386614.0
eater,True,True,1161877.0
elude,True,True,1115748.0
cycle,True,True,40130390.0
kitty,True,True,2775135.0
boule,True,True,267473.0
moron,True,True,353972.0
tenet,True,True,1340625.0
place,True,True,401396238.0
lobby,True,True,5435318.0
plush,True,True,850109.0
vigil,True,True,1296150.0
index,True,True,57715744.0
blink,True,True,1248124.0
clung,True,True,4118829.0
qualm,True,True,161834.0
croup,True,True,862269.0
clink,True,True,352668.0
juicy,True,True,1028574.0
stage,True,True,109565790.0
decay,True,True,14039469.0
nerve,True,True,32996075.0
flier,True,True,372144.0
shaft,True,True,12655793.0
crook,True,True,2094624.0
clean,True,True,35450708.0
china,True,True,82354191.0
ridge,True,True,15560675.0
vowel,True,True,5292741.0
gnome,True,True,465283.0
snuck,True,True,230473.0
icing,True,True,904493.0
spiny,True,True,669605.0
rigor,True,True,1714108.0
snail,True,True,1838723.0
flown,True,True,3444268.0
rabid,True,True,679520.0
prose,True,True,13781344.0
thank,True,True,32642462.0
poppy,True,True,1500096.0
budge,True,True,1165620.0
fiber,True,True,14200359.0
moldy,True,True,282818.0
dowdy,True,True,239828.0
kneel,True,True,1652210.0
track,True,True,28410371.0
caddy,True,True,392075.0
quell,True,True,941184.0
dumpy,True,True,185670.0
paler,True,True,1205105.0
swore,True,True,3786461.0
rebar,True,True,110157.0
scuba,True,True,620224.0
splat,True,True,145573.0
flyer,True,True,880937.0
horny,True,True,1003951.0
mason,True,True,9893658.0
doing,True,True,109588230.0
ozone,True,True,3983357.0
amply,True,True,3093180.0
molar,True,True,3975910.0
ovary,True,True,3289030.0
beset,True,True,2966759.0
queue,True,True,3821985.0
cliff,True,True,7274852.0
magic,True,True,19706753.0
truce,True,True,3503657.0
sport,True,True,15020361.0
fritz,True,True,3257747.0
edict,True,True,3262932.0
twirl,True,True,231989.0
verse,True,True,24706558.0
llama,True,True,438306.0
eaten,True,True,11098986.0
range,True,True,118834139.0
whisk,True,True,812290.0
hovel,True,True,473064.0
rehab,True,True,410125.0
macaw,True,True,163115.0
sigma,True,True,3028606.0
spout,True,True,985477.0
verve,True,True,442776.0
sushi,True,True,376462.0
dying,True,True,22424339.0
fetid,True,True,535812.0
brain,True,True,59381487.0
buddy,True,True,2930914.0
thump,True,True,835443.0
scion,True,True,718212.0
candy,True,True,4882740.0
chord,True,True,4804404.0
basin,True,True,16959793.0
march,True,True,111017382.0
crowd,True,True,27183445.0
arbor,True,True,4489019.0
gayly,True,True,335353.0
musky,True,True,203329.0
stain,True,True,6044036.0
dally,True,True,435833.0
bless,True,True,7260645.0
bravo,True,True,1231538.0
stung,True,True,1660868.0
title,True,True,71430817.0
ruler,True,True,12783424.0
kiosk,True,True,437886.0
blond,True,True,3501007.0
ennui,True,True,607076.0
layer,True,True,43318510.0
fluid,True,True,37084285.0
tatty,True,True,
score,True,True,26170023.0
cutie,True,True,
zebra,True,True,973692.0
barge,True,True,2435689.0
matey,True,True,
bluer,True,True,179884.0
aider,True,True,161898.0
shook,True,True,21411884.0
river,True,True,129050101.0
privy,True,True,5759287.0
betel,True,True,656548.0
frisk,True,True,227333.0
bongo,True,True,221244.0
begun,True,True,33448079.0
azure,True,True,1238841.0
weave,True,True,2978425.0
genie,True,True,818759.0
sound,True,True,98359048.0
glove,True,True,2558192.0
braid,True,True,1302152.0
scope,True,True,30959084.0
wryly,True,True,665489.0
rover,True,True,1356305.0
assay,True,True,5663388.0
ocean,True,True,32902932.0
bloom,True,True,7959254.0
irate,True,True,626277.0
later,True,True,269420608.0
woken,True,True,500103.0
silky,True,True,1202560.0
wreck,True,True,4379629.0
dwelt,True,True,4367654.0
slate,True,True,4743064.0
smack,True,True,1069173.0
solid,True,True,46975719.0
amaze,True,True,463487.0
hazel,True,True,2623779.0
wrist,True,True,6758356.0
jolly,True,True,3026136.0
globe,True,True,12624980.0
flint,True,True,5198581.0
rouse,True,True,2581729.0
civil,True,True,90893209.0
vista,True,True,2836318.0
relax,True,True,6757308.0
cover,True,True,61094511.0
alive,True,True,29844303.0
beech,True,True,2233369.0
jetty,True,True,737658.0
bliss,True,True,5649471.0
vocal,True,True,8792311.0
often,True,True,325385700.0
dolly,True,True,1944543.0
eight,True,True,81515476.0
joker,True,True,483870.0
